VesselName,RecordCount
FREEDOM,413156
LIBERTY,294447
INDEPENDENCE,234292
US GOV VESSEL,172896
MAVERICK,171605
PATRIOT,158227
ENTERPRISE,146673
AURORA,141791
HERCULES,131844
OSPREY,129831
TEXAS,125173
ENDEAVOR,125150
DESTINY,121258
LEGACY,118986
INTEGRITY,118391
JOURNEY,115971
ATHENA,115651
TRINITY,115109
VALKYRIE,112777
HELEN,109973
DAUNTLESS,108878
SPIRIT,106081
GALVESTON,101954
OHIO,98935
ATLAS,95359
EAGLE,94601
DELAWARE,94495
ZEUS,94316
MISS EMILY,94047
ANDIAMO,93836
RANGER,93758
APOLLO,91183
CAPE HENRY,90903
ENDURANCE,90547
SERENITY,90196
DEFENDER,89656
SEA HAWK,89579
MISS CAROLINE,89196
DEFIANCE,88964
STARLIGHT,88927
TRITON,87222
COMMANDER,86721
ENCORE,86425
ORION,86070
LOUISIANA,86011
TITUS,85757
FLORIDA,85545
CHARLESTON,85344
NEW YORK,84288
RELENTLESS,81784
COLUMBIA,81565
NAVIGATOR,80824
BULLDOG,79777
MARINER,77907
LEADER,76218
MADELINE,75694
HOUSTON,75637
IRON LADY,75466
SARAH,75364
TAMPA,75081
FLORENCE DAVIS,74565
HAMPTON ROADS,74232
AMERICA,74098
WASHINGTON,74003
ROBERT,73925
CAROLINE,73123
HALCYON,72962
SARAH D,72822
US GOVERNMENT VESSEL,72370
SEA LION,71080
NEPTUNE,70707
BLUE MOON,70506
REALIST,69907
COLONEL,69645
CABRILLO,69644
SANDPIPER,69342
EXCALIBUR,69205
BALTIMORE,68917
TIMBALIER BAY,68705
PEARL RIVER,68636
LONE STAR,67132
OHANA,67084
PRIDE,66993
GENESIS,66827
JUSTICE,66788
SCOUT,66596
DISCOVERY,66273
ISLAND TIME,66237
PORT NECHES,66230
JOANNE C,66107
GEORGIA,65976
SABINE,65926
PEGASUS,65552
RED HOOK,65431
AQUILA,65431
APACHE,64874
HERO,63360
OASIS,63301
MASTER TYLER,63225
AMERICAN COURAGE,63092
TAURUS,63051
SUSQUEHANNA,62973
CAPE COD,62897
CAPE HATTERAS,62810
GEORGE ALLEN,62286
ISLANDER,62158
FELLS POINT,61977
CAROLINE FRANCES,61948
ADELINE,61572
LADY MICHELLE,61462
HARMONY,60898
VALOR,60840
ISLAND EXPLORER,60670
FALCON,60266
ADMIRAL,60238
SEAS THE DAY,60184
ILLINOIS,60039
AMAZING GRACE,59776
CHIPPEWA,59591
SATORI,59579
TIMELESS,59365
JACKIE,59030
MALOLO,58666
SPINDLETOP,58625
INNOVATOR,58581
ABOUT TIME,58472
TENACIOUS,58023
ELECTRA,57965
MISS MADELINE,57873
VIRGINIA,57522
GALE,57451
ENDEAVOUR,57062
RAVEN,57013
CAROL ANN,56757
RENEGADE,56708
MR BILL,56562
SOLSTICE,56255
MATTHEW,55880
CHALLENGER,55878
GABRIELLE ELIZABETH,55648
MISSISSIPPI,55539
HAWK,55507
STEADFAST,55456
THOR,55413
STARDUST,55264
ELIZABETH,55263
ISLAND QUEEN,55119
TORTUGA,55023
ISLAND GIRL,54907
CHAMPION,54826
GEMINI,54580
CYGNUS,54427
CORPUS CHRISTI,54387
JAMES T,54143
SOUTHERN BELLE,54049
RHAPSODY,54043
PORT EADS,53958
KESTREL,53856
ESCAPE,53847
NASHVILLE,53754
WARREN JR,53653
GRAND ISLE,53566
AURA,52889
ROCKFISH,52778
RESOLUTE,52543
MISS RACHEL,52537
AMERICAN FREEDOM,52529
AMERICAN CENTURY,52450
ALLURE,52345
BARBARA ANN,52343
ISLA BONITA,52319
PECAN ISLAND,52317
VICTORIA,52226
ELYSIAN,51948
COHO,51843
ROBERT T,51819
PATHFINDER,51734
SAN MARCOS,51695
ALLIANCE,51504
HARRISON,51450
BLUEFIN,51284
ELIZABETH ANNE,51229
CATHY,51166
STELLA MARIS,51148
SEA HORSE,51117
RESOLUTION,50919
LAVACA,50842
LIONS DEN,50651
ZORRO,50104
ARKANSAS,49941
FREYA,49807
RELIANCE,49769
CAPE ANN,49616
CAPE CHARLES,49531
JOANNE MARIE,49418
THOMAS JEFFERSON,49329
LADY J,49253
SAN BERNARD,49125
TEXAS CITY,49031
KODIAK,49001
PACIFIC CHALLENGER,48962
SEAWOLF,48855
KELSO,48801
PINTAIL,48532
PARACLETE,48531
SERENDIPITY,48459
RICHARD O,48298
CHERYL ANN,48280
BAILEY,48218
ODYSSEY,48203
BELLA VITA,48074
ARTEMIS,48038
VIKING LEADER,47991
SOUTHERN CROSS,47986
MAJESTY,47861
THUNDER,47712
SEA BEAR,47674
SHELLEY,47448
VULCAN,47321
BOAT,47305
IMAGINE,47286
SEA WOLF,47201
MARTIN,47173
SPARTAN,47001
ST PETER,46981
EXPLORER,46924
MISS ANNE,46921
MAGNOLIA,46748
BEACH HOUSE,46718
EMPIRE STATE,46714
ARLENE,46394
CAITLIN,45896
PECOS,45828
SHANTI,45803
KENT,45698
SEA OTTER,45552
MAGGIE RAE,45338
ATLANTIS,45242
CAPE HENLOPEN,45061
DOROTHY L,44923
BLUE DIAMOND,44910
SEA FOX,44755
DENALI,44744
CONSTELLATION,44735
PROVIDENCE,44610
SIRIUS,44243
ARIES,44149
CHEROKEE,44134
REBEL,44060
HERITAGE,43730
TITAN,43696
MICHAEL S,43413
MISS AUDREY,43296
OCEANUS,43278
LIQUID ASSET,43181
ROCK SOLID,43171
RAMPART,43167
MAKAI,42895
BARBARA,42824
LEGEND,42798
INDISCRETION,42739
ISLAND BREEZE,42736
DELTA,42614
RUFFIAN,42583
MILLENNIUM,42562
VISION,42440
HAPPY OURS,42390
SEAHAWK,42367
BRANDYWINE,42305
CARPE DIEM,42265
MARY B,42135
EAGLE II,41980
RITA,41877
MISS COLETTE,41752
ENDLESS SUMMER,41735
SOUTHERN STAR,41733
ALASKA,41510
BLUE SKY,41494
CONSTITUTION,41373
KING FISHER,41306
COMMODORE,41251
BRENDA B,41236
ZEPHYR,41190
MACKENZIE ROSE,41055
VOYAGER,40984
CATALYST,40978
SEASPAN FALCON,40892
PACIFIC HORIZON,40859
DUCHESS,40836
ALASKA CHALLENGER,40795
MYSTIC,40770
DOLPHIN,40215
OSCAR B,40170
WESTERN DAWN,40069
CONNOR FOSS,39989
CAPTAIN RALEIGH,39982
TRIUMPH VII,39979
NORTH STAR,39944
REPOSE,39936
PV GOLDEN GATE,39913
WRANGLER,39907
PATRICIA ANN,39856
HERMES,39846
CAPE CANAVERAL,39793
GRIZZLY,39772
ESCAPADE,39703
CARIBBEAN DAWN,39664
STORM,39636
CONDOR,39631
MISS KELLY,39604
ELIZABETH ANN,39600
NANTUCKET,39507
DREAMS,39492
ROSEMARY MCALLISTER,39431
MARIE,39423
RETRIEVER,39421
EMERALD PRINCESS,39404
PETER J BRIX,39398
OCEAN HUNTER,39319
PILOT BOAT POLARIS 3,39272
TENACITY,39099
REVOLUTION,39073
GREY LADY IV,39046
